Country,State,Route,Active,Latitude,Longitude,Stratum,BCR
840,46,37,1,39.10312,-76.192383,4,30
840,46,38,1,38.783977,-75.8845056,4,30
840,46,39,1,38.8211117,-75.9331139,4,30
840,46,40,1,38.7863193,-76.075195,4,30
840,46,41,1,38.4607494,-76.1997997,4,30
840,46,42,1,38.3676908,-76.2432656,4,30
840,46,43,1,38.5258637,-76.2101023,4,30
840,46,44,1,38.5203297,-75.7964256,4,30
840,46,46,1,38.4485307,-75.7898657,4,30
840,46,47,1,38.1651924,-75.5797027,4,30
840,46,48,1,38.2256736,-75.2663372,4,30
840,46,51,1,39.6733819,-79.1632229,24,28
840,46,52,1,39.3377737,-79.3101889,24,28
840,46,54,1,39.6399863,-78.4762746,13,28
840,46,102,1,39.5399409,-79.1662387,24,28
840,46,112,1,39.2945828,-77.3066703,10,29
840,46,121,0,39.0378914,-76.5142379,4,30
840,46,123,1,38.9888945,-76.6695275,4,30
840,46,124,1,38.7166667,-76.8166667,4,30
840,46,125,1,38.4092014,-76.5507449,4,30
840,46,126,1,38.5019497,-76.5743599,4,30
840,46,145,1,38.3003961,-75.5666203,4,30
840,46,149,1,38.3112181,-75.1181628,4,30
840,46,150,1,38.2015289,-75.4112061,4,30
840,46,151,1,39.63115,-76.52063,10,29
840,47,1,1,41.750876,-70.1656255,9,30
840,47,3,1,41.7147936,-70.7712211,12,30
840,47,6,1,42.0823387,-70.8662472,12,30
840,47,7,1,42.8153398,-70.8188944,12,30
840,47,8,1,42.4344551,-71.4311953,12,30
840,47,9,1,42.5199697,-71.5305739,12,30
840,47,10,1,42.1503703,-71.8990443,12,30
840,47,11,1,42.0067334,-71.118451,12,30
840,47,102,1,41.3440727,-70.7828989,9,30
840,47,112,1,42.4447746,-71.8486346,12,30
840,47,115,1,42.2307416,-72.514409,12,30
840,49,32,1,42.5960376,-85.134166,16,23
840,49,55,1,42.1013065,-84.8081892,16,23
840,49,905,1,41.8849487,-86.4515529,16,23
840,51,2,1,31.3905325,-91.3943546,4,27
